"Table 3: Estimated population by sex, five year age group and administrative area, mid-2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,Persons
Area code1,Area name,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,Area
S12000006,Dumfries and Galloway,"72,435",,"3,215","3,807","4,036","3,754","3,957","3,686","3,677","3,483","3,328","4,489","5,547","5,918","5,422","5,312","5,053","3,559","2,409","1,272",511,,Dumfries & Galloway
S12000042,Dundee City,"72,128",,"3,815","4,059","3,750","4,098","6,481","7,148","6,046","4,562","3,614","3,902","4,502","4,578","4,162","3,317","3,163","2,116","1,555",875,385,,Dundee City
S12000008,East Ayrshire,"59,189",,"3,244","3,514","3,368","3,176","3,508","3,587","3,569","3,438","3,263","4,033","4,614","4,417","4,021","3,610","3,275","2,122","1,470",686,274,,East Ayrshire
S12000045,East Dunbartonshire,"52,571",,"2,843","3,235","3,257","3,082","3,112","3,043","2,677","2,675","2,892","3,401","3,883","4,015","3,633","3,098","2,890","2,012","1,577",889,357,,East Dunbartonshire
S12000010,East Lothian,"51,433",,"2,939","3,257","3,369","2,735","2,861","2,837","2,701","2,880","3,093","3,700","3,914","3,949","3,468","2,848","2,772","1,893","1,239",684,294,,East Lothian
S12000011,East Renfrewshire,"45,708",,"2,656","3,386","3,366","2,904","2,733","2,389","2,024","2,401","2,751","3,191","3,334","3,318","3,038","2,409","2,187","1,492","1,192",639,298,,East Renfrewshire
S12000014,Falkirk,"78,851",,"4,167","4,719","4,715","4,436","4,709","4,708","4,744","4,926","5,057","5,903","6,201","5,890","4,863","4,230","4,014","2,555","1,731",904,379,,Falkirk
S12000047,Fife,"181,414",,"9,481","10,970","10,628","10,404","11,966","11,059","10,236","10,553","10,384","12,078","13,642","13,231","11,802","10,407","10,253","6,664","4,404","2,227","1,025",,Fife
S12000049,Glasgow City,"310,036",,"16,851","16,894","14,926","15,847","26,411","34,403","31,394","25,358","18,967","18,445","19,502","18,741","15,645","12,232","9,987","6,593","4,483","2,347","1,010",,Glasgow City
S12000017,Highland,"115,564",,"5,644","6,287","6,873","6,275","6,306","6,242","6,534","6,836","6,452","7,396","8,929","8,998","8,269","7,526","6,987","4,640","2,991","1,673",706,,Highland
